,id,Yield
169,74220,14.25
170,74221,8.46
171,74222,10.26
172,74223,9.93
173,74224,8.89
174,74225,9.95
175,74226,9.93
176,74227,11.74
177,74228,4.47
178,74229,11.84
179,74230,11.73
180,74231,7.68
181,74232,10.9
182,74233,6.33
183,74234,10.4
184,74235,11.75
185,74236,8.54
186,74237,9.27
187,74238,10.69
188,74239,6.33
189,74240,7.58
190,74241,7.68
191,74242,13.25
192,74243,11.02
193,74244,6.84
194,74245,10.85
195,74246,10.31
196,74247,8.72
197,74248,9.47
198,74249,16.39
199,74250,11.3
200,74251,13.99
201,74252,7.95
202,74253,11.14
203,74254,11.12
204,74255,10.69
205,74256,11.3
206,74257,12.33
207,74258,4.43
208,74259,11.29
209,74260,9.54
210,74261,10.76
211,74262,4.87
212,74263,11.75
213,74264,9.65
214,74265,11.75
215,74266,8.57
216,74267,11.12
217,74268,10.76
218,74269,7.68
219,74270,8.65
220,74271,11.15
221,74272,16.53
222,74273,7.47
223,74274,12.64
224,74275,9.04
225,74276,7.79
226,74277,9.01
227,74278,15.96
228,74279,11.14
229,74280,10.31
230,74281,13.56
231,74282,12.09
232,74283,11.05
233,74284,7.74
234,74285,6.84
235,74286,10.69
236,74287,11.25
237,74288,13.4
238,74289,7.68
239,74290,10.97
240,74291,11.36
241,74292,9.54
242,74293,7.57
243,74294,10.69
244,74295,13.83
245,74296,10.93
246,74297,11.69
247,74298,13.64
248,74299,10.54
249,74300,10.31
250,74301,10.46
251,74302,10.26
252,74303,9.15
253,74304,12.21
254,74305,9.27
255,74306,8.98
256,74307,7.68
257,74308,11.0
258,74309,10.13
259,74310,16.67
260,74311,7.68
261,74312,13.4
262,74313,11.75
263,74314,10.9
264,74315,8.87
265,74316,10.45
266,74317,10.31
267,74318,12.1
268,74319,11.86
269,74320,9.83
270,74321,9.54
271,74322,12.09
272,74323,11.81
273,74324,11.88
274,74325,8.89
275,74326,9.89
276,74327,10.36
277,74328,11.33
278,74329,9.54
279,74330,8.89
280,74331,5.65
281,74332,11.02
282,74333,12.83
283,74334,11.31
284,74335,11.98
285,74336,9.54
286,74337,9.47
287,74338,9.6
288,74339,9.92
289,74340,8.99
290,74341,8.98
291,74342,8.35
292,74343,8.54
293,74344,9.97
294,74345,10.45
295,74346,7.47
296,74347,13.54
297,74348,9.93
298,74349,9.22
299,74350,11.14
300,74351,11.95
301,74352,13.51
302,74353,9.85
303,74354,11.82
304,74355,6.84
305,74356,6.21
306,74357,9.92
307,74358,6.84
308,74359,8.54
309,74360,9.3
310,74361,10.69
311,74362,8.54
312,74363,9.92
313,74364,10.35
314,74365,5.56
315,74366,5.39
316,74367,7.58
317,74368,8.35
318,74369,9.47
319,74370,12.37
320,74371,11.0
321,74372,10.26
322,74373,11.53
323,74374,9.65
324,74375,7.47
325,74376,11.16
326,74377,9.92
327,74378,13.84
328,74379,12.41
329,74380,9.93
330,74381,10.15
331,74382,11.3
332,74383,7.95
333,74384,9.6
334,74385,9.92
335,74386,13.32
336,74387,11.0
337,74388,7.58
338,74389,9.33
339,74390,6.79
340,74391,8.35
341,74392,8.97
342,74393,11.82
343,74394,8.46
344,74395,9.85
345,74396,9.85
346,74397,7.47
347,74398,9.93
348,74399,11.82
349,74400,13.4
350,74401,9.27
351,74402,9.22
352,74403,10.9
353,74404,7.47
354,74405,16.81
355,74406,5.34
356,74407,9.45
357,74408,10.15
358,74409,12.47
359,74410,9.54
360,74411,10.71
361,74412,10.47
362,74413,9.6
363,74414,12.76
364,74415,14.12
365,74416,9.6
366,74417,16.79
367,74418,9.54
368,74419,11.49
369,74420,10.69
370,74421,9.37
371,74422,5.01
372,74423,10.32
373,74424,8.35
374,74425,6.84
375,74426,10.15
376,74427,9.93
377,74428,9.93
378,74429,14.51
379,74430,6.25
380,74431,5.53
381,74432,10.4
382,74433,16.15
383,74434,12.16
384,74435,11.74
385,74436,12.08
386,74437,10.69
387,74438,11.01
388,74439,7.68
389,74440,11.75
390,74441,9.92
391,74442,11.75
392,74443,7.47
393,74444,9.56
394,74445,10.6
395,74446,13.51
396,74447,10.18
397,74448,4.82
398,74449,6.78
399,74450,10.01
400,74451,14.12
401,74452,10.9
402,74453,4.94
403,74454,10.4
404,74455,8.72
405,74456,11.74
406,74457,7.58
407,74458,7.47
408,74459,10.32
409,74460,8.37
410,74461,12.52
411,74462,9.25
412,74463,11.14
413,74464,13.51
414,74465,5.56
415,74466,11.84
416,74467,12.97
417,74468,9.33
418,74469,9.89
419,74470,12.64
420,74471,12.85
421,74472,12.95
422,74473,14.57
423,74474,4.9
424,74475,11.01
425,74476,10.31
426,74477,9.89
427,74478,9.47
428,74479,13.64
429,74480,10.31
430,74481,7.79
431,74482,9.8
432,74483,9.85
433,74484,13.4
434,74485,15.86
435,74486,6.79
436,74487,4.83
437,74488,10.91
438,74489,8.19
439,74490,6.84
440,74491,9.92
441,74492,6.73
442,74493,10.09
443,74494,11.66
444,74495,11.92
445,74496,5.57
446,74497,10.31
447,74498,10.76
448,74499,8.46
449,74500,9.19
450,74501,9.54
451,74502,10.97
452,74503,9.44
453,74504,12.95
454,74505,9.85
455,74506,10.27
456,74507,9.54
457,74508,6.84
458,74509,14.33
459,74510,10.98
460,74511,11.54
461,74512,9.85
462,74513,11.82
463,74514,10.31
464,74515,9.92
465,74516,6.21
466,74517,8.95
467,74518,11.49
468,74519,10.29
469,74520,6.08
470,74521,10.41
471,74522,10.09
472,74523,9.83
473,74524,9.01
474,74525,7.47
475,74526,7.68
476,74527,9.54
477,74528,10.4
478,74529,9.04
479,74530,9.54
480,74531,10.64
481,74532,9.16
482,74533,10.31
483,74534,7.75
484,74535,11.75
485,74536,5.53
486,74537,7.47
487,74538,10.54
488,74539,9.02
489,74540,9.3
490,74541,10.69
491,74542,10.31
492,74543,10.31
493,74544,10.45
494,74545,8.96
495,74546,15.53
496,74547,11.02
497,74548,14.75
498,74549,7.68
499,74550,13.1
500,74551,12.03
501,74552,9.44
502,74553,9.65
503,74554,10.86
504,74555,10.42
505,74556,9.56
506,74557,12.0
507,74558,10.3
508,74559,10.69
509,74560,9.84
510,74561,11.21
511,74562,5.29
512,74563,10.45
513,74564,9.54
514,74565,9.13
515,74566,9.31
516,74567,13.99
517,74568,5.72
518,74569,16.21
519,74570,12.09
520,74571,4.26
521,74572,6.33
522,74573,13.66
523,74574,10.9
524,74575,6.78
525,74576,7.58
526,74577,7.68
527,74578,6.84
528,74579,11.14
529,74580,10.3
530,74581,10.31
531,74582,4.85
532,74583,11.55
533,74584,11.12
534,74585,13.51
535,74586,4.22
536,74587,6.21
537,74588,9.54
538,74589,9.23
539,74590,11.3
540,74591,10.35
541,74592,11.84
542,74593,5.01
543,74594,12.75
544,74595,12.68
545,74596,11.12
546,74597,7.79
547,74598,5.98
548,74599,8.89
549,74600,6.4
550,74601,6.84
551,74602,10.11
552,74603,4.86
553,74604,11.98
554,74605,5.57
555,74606,7.68
556,74607,11.75
557,74608,9.64
558,74609,6.79
559,74610,12.97
560,74611,8.49
561,74612,11.5
562,74613,9.87
563,74614,8.89
564,74615,10.77
565,74616,6.79
566,74617,11.12
567,74618,6.16
568,74619,9.27
569,74620,9.6
570,74621,6.21
571,74622,9.48
572,74623,7.58
573,74624,9.47
574,74625,9.72
575,74626,11.3
576,74627,10.62
577,74628,10.72
578,74629,10.98
579,74630,13.21
580,74631,14.03
581,74632,9.47
582,74633,15.46
583,74634,8.98
584,74635,9.97
585,74636,12.36
586,74637,7.57
587,74638,10.87
588,74639,9.54
589,74640,7.58
590,74641,7.58
591,74642,8.49
592,74643,10.85
593,74644,10.85
594,74645,4.14
595,74646,9.16
596,74647,10.69
597,74648,12.01
598,74649,5.3
599,74650,14.0
600,74651,10.32
601,74652,12.35
602,74653,5.56
603,74654,11.55
604,74655,11.75
605,74656,9.89
606,74657,8.92
607,74658,12.44
608,74659,10.45
609,74660,9.44
610,74661,14.33
611,74662,7.79
612,74663,12.25
613,74664,11.54
614,74665,14.44
615,74666,9.88
616,74667,8.95
617,74668,12.17
618,74669,9.54
619,74670,10.85
620,74671,9.65
621,74672,11.29
622,74673,10.31
623,74674,9.37
624,74675,13.4
625,74676,9.81
626,74677,9.89
627,74678,10.57
628,74679,11.02
629,74680,9.65
630,74681,9.6
631,74682,9.84
632,74683,6.84
633,74684,7.74
634,74685,6.19
635,74686,6.21
636,74687,9.94
637,74688,9.89
638,74689,9.64
639,74690,8.13
640,74691,10.29
641,74692,7.58
642,74693,7.47
643,74694,10.31
644,74695,10.69
645,74696,6.21
646,74697,8.95
647,74698,7.58
648,74699,10.46
649,74700,8.4
650,74701,9.54
651,74702,12.97
652,74703,6.79
653,74704,10.26
654,74705,5.46
655,74706,6.25
656,74707,5.65
657,74708,12.73
658,74709,10.69
659,74710,7.68
660,74711,10.98
661,74712,13.4
662,74713,7.47
663,74714,7.68
664,74715,10.61
665,74716,7.68
666,74717,9.27
667,74718,10.97
668,74719,10.31
669,74720,8.42
670,74721,11.12
671,74722,15.18
672,74723,10.31
673,74724,11.24
674,74725,15.68
675,74726,12.37
676,74727,9.16
677,74728,10.85
678,74729,10.69
679,74730,10.77
680,74731,9.87
681,74732,12.97
682,74733,11.72
683,74734,7.47
684,74735,10.94
685,74736,7.68
686,74737,11.81
687,74738,7.68
688,74739,11.38
689,74740,8.93
690,74741,9.11
691,74742,12.11
692,74743,12.17
693,74744,10.33
694,74745,9.11
695,74746,12.01
696,74747,9.92
697,74748,11.02
698,74749,9.97
699,74750,8.46
700,74751,10.31
701,74752,8.54
702,74753,7.47
703,74754,13.09
704,74755,11.05
705,74756,6.84
706,74757,10.13
707,74758,12.61
708,74759,7.68
709,74760,13.4
710,74761,10.31
711,74762,6.84
712,74763,17.32
713,74764,9.98
714,74765,10.25
715,74766,10.31
716,74767,6.79
717,74768,10.0
718,74769,9.54
719,74770,9.01
720,74771,10.85
721,74772,11.3
722,74773,10.4
723,74774,11.3
724,74775,11.89
725,74776,10.83
726,74777,6.84
727,74778,6.21
728,74779,10.26
729,74780,10.69
730,74781,9.47
731,74782,9.47
732,74783,11.75
733,74784,10.62
734,74785,11.3
735,74786,10.94
736,74787,12.7
737,74788,7.99
738,74789,4.87
739,74790,9.6
740,74791,11.49
741,74792,5.98
742,74793,7.58
743,74794,13.11
744,74795,12.64
745,74796,11.82
746,74797,8.4
747,74798,13.64
748,74799,10.69
749,74800,14.0
750,74801,9.73
751,74802,12.64
752,74803,12.97
753,74804,10.84
754,74805,10.54
755,74806,4.97
756,74807,4.96
757,74808,8.09
758,74809,14.25
759,74810,6.4
760,74811,11.32
761,74812,11.0
762,74813,11.3
763,74814,11.02
764,74815,9.6
765,74816,11.43
766,74817,14.55
767,74818,9.37
768,74819,8.87
769,74820,11.0
770,74821,11.05
771,74822,11.76
772,74823,8.35
773,74824,11.14
774,74825,7.47
775,74826,9.83
776,74827,11.19
777,74828,10.97
778,74829,11.2
779,74830,9.71
780,74831,7.96
781,74832,8.4
782,74833,14.11
783,74834,12.07
784,74835,11.15
785,74836,12.53
786,74837,12.1
787,74838,8.87
788,74839,7.47
789,74840,9.6
790,74841,9.56
791,74842,11.1
792,74843,9.47
793,74844,9.89
794,74845,9.88
795,74846,12.08
796,74847,9.47
797,74848,10.86
798,74849,10.31
799,74850,6.4
800,74851,9.38
801,74852,11.05
802,74853,4.94
803,74854,14.41
804,74855,13.94
805,74856,10.64
806,74857,15.96
807,74858,10.31
808,74859,10.31
809,74860,8.89
810,74861,11.82
811,74862,10.69
812,74863,8.49
813,74864,12.53
814,74865,12.43
815,74866,11.28
816,74867,13.5
817,74868,10.01
818,74869,9.88
819,74870,11.19
820,74871,9.58
821,74872,11.0
822,74873,12.01
823,74874,12.01
824,74875,11.95
825,74876,9.65
826,74877,10.62
827,74878,7.47
828,74879,8.54
829,74880,9.97
830,74881,10.69
831,74882,9.83
832,74883,10.45
833,74884,7.47
834,74885,12.74
835,74886,11.18
836,74887,5.98
837,74888,9.27
838,74889,7.79
839,74890,9.02
840,74891,11.96
841,74892,9.92
842,74893,9.34
843,74894,13.51
844,74895,9.47
845,74896,9.8
846,74897,10.01
847,74898,10.26
848,74899,12.09
849,74900,12.04
850,74901,6.84
851,74902,5.57
852,74903,11.7
853,74904,10.85
854,74905,10.16
855,74906,10.69
856,74907,5.53
857,74908,10.31
858,74909,9.53
859,74910,10.69
860,74911,9.16
861,74912,9.51
862,74913,13.17
863,74914,11.01
864,74915,6.4
865,74916,13.51
866,74917,7.47
867,74918,14.47
868,74919,12.01
869,74920,10.31
870,74921,4.14
871,74922,10.31
872,74923,9.51
873,74924,10.69
874,74925,9.54
875,74926,11.03
876,74927,7.65
877,74928,6.84
878,74929,9.89
879,74930,9.27
880,74931,9.6
881,74932,8.19
882,74933,16.11
883,74934,9.73
884,74935,11.84
885,74936,8.46
886,74937,8.94
887,74938,9.93
888,74939,12.61
889,74940,7.58
890,74941,10.31
891,74942,7.79
892,74943,9.77
893,74944,10.66
894,74945,8.46
895,74946,9.47
896,74947,12.64
897,74948,7.57
898,74949,10.69
899,74950,5.92
900,74951,11.84
901,74952,13.4
902,74953,11.77
903,74954,9.72
904,74955,11.12
905,74956,7.47
906,74957,10.05
907,74958,7.95
908,74959,8.68
909,74960,10.51
910,74961,15.79
911,74962,12.21
912,74963,9.93
913,74964,8.89
914,74965,9.54
915,74966,9.54
916,74967,12.4
917,74968,9.01
918,74969,13.99
919,74970,11.16
920,74971,9.22
921,74972,6.84
922,74973,8.54
923,74974,15.72
924,74975,11.75
925,74976,12.3
926,74977,5.95
927,74978,6.21
928,74979,7.47
929,74980,9.54
930,74981,6.6
931,74982,9.76
932,74983,5.55
933,74984,7.58
934,74985,11.31
935,74986,4.2
936,74987,8.56
937,74988,5.39
938,74989,9.23
939,74990,11.02
940,74991,9.54
941,74992,9.69
942,74993,12.41
943,74994,6.73
944,74995,9.54
945,74996,11.68
946,74997,7.58
947,74998,14.12
948,74999,11.75
949,75000,10.69
950,75001,13.1
951,75002,8.03
952,75003,9.85
953,75004,9.89
954,75005,10.49
955,75006,14.03
956,75007,11.14
957,75008,9.5
958,75009,8.86
959,75010,10.31
960,75011,10.31
961,75012,11.82
962,75013,4.91
963,75014,6.84
964,75015,9.04
965,75016,7.68
966,75017,15.24
967,75018,14.05
968,75019,4.14
969,75020,14.03
970,75021,7.75
971,75022,11.0
972,75023,11.3
973,75024,4.29
974,75025,11.01
975,75026,9.88
976,75027,10.31
977,75028,11.84
978,75029,8.93
979,75030,9.88
980,75031,11.36
981,75032,11.74
982,75033,12.19
983,75034,6.11
984,75035,9.92
985,75036,9.4
986,75037,11.02
987,75038,10.35
988,75039,10.51
989,75040,9.73
990,75041,7.79
991,75042,11.16
992,75043,8.75
993,75044,13.4
994,75045,12.8
995,75046,8.98
996,75047,11.96
997,75048,9.54
998,75049,9.61
999,75050,9.57
1000,75051,6.73
1001,75052,13.09
1002,75053,10.62
1003,75054,10.27
1004,75055,6.33
1005,75056,9.33
1006,75057,10.85
1007,75058,10.97
1008,75059,7.57
1009,75060,7.57
1010,75061,11.82
1011,75062,10.74
1012,75063,6.08
1013,75064,9.87
1014,75065,4.41
1015,75066,9.47
1016,75067,10.69
1017,75068,8.37
1018,75069,12.96
1019,75070,16.81
1020,75071,9.54
1021,75072,8.89
1022,75073,6.21
1023,75074,8.58
1024,75075,6.84
1025,75076,11.82
1026,75077,8.74
1027,75078,10.12
1028,75079,8.54
1029,75080,7.58
1030,75081,7.58
1031,75082,11.75
1032,75083,9.19
1033,75084,14.03
1034,75085,9.6
1035,75086,9.23
1036,75087,11.75
1037,75088,6.73
1038,75089,10.88
1039,75090,11.12
1040,75091,7.77
1041,75092,12.91
1042,75093,11.14
1043,75094,6.73
1044,75095,7.68
1045,75096,8.57
1046,75097,6.84
1047,75098,10.85
1048,75099,13.25
1049,75100,11.75
1050,75101,12.02
1051,75102,10.31
1052,75103,10.31
1053,75104,6.67
1054,75105,8.33
1055,75106,9.22
1056,75107,14.25
1057,75108,7.68
1058,75109,9.96
1059,75110,12.93
1060,75111,12.14
1061,75112,8.54
1062,75113,7.79
1063,75114,14.33
1064,75115,11.68
1065,75116,6.79
1066,75117,9.33
1067,75118,11.82
1068,75119,8.79
1069,75120,11.14
1070,75121,13.3
1071,75122,7.47
1072,75123,10.9
1073,75124,6.73
1074,75125,12.01
1075,75126,12.23
1076,75127,10.26
1077,75128,8.89
1078,75129,9.94
1079,75130,6.14
1080,75131,10.69
1081,75132,12.96
1082,75133,10.64
1083,75134,8.93
1084,75135,10.85
1085,75136,10.98
1086,75137,10.31
1087,75138,9.23
1088,75139,7.47
1089,75140,8.93
1090,75141,9.3
1091,75142,6.33
1092,75143,10.85
1093,75144,10.93
1094,75145,13.51
1095,75146,8.57
1096,75147,9.58
1097,75148,9.58
1098,75149,9.73
1099,75150,6.25
1100,75151,4.87
1101,75152,6.25
1102,75153,12.01
1103,75154,8.26
1104,75155,8.95
1105,75156,10.31
1106,75157,10.74
1107,75158,13.99
1108,75159,6.84
1109,75160,9.65
1110,75161,6.84
1111,75162,11.12
1112,75163,9.22
1113,75164,13.4
1114,75165,11.16
1115,75166,12.34
1116,75167,4.87
1117,75168,7.47
1118,75169,14.33
1119,75170,8.45
1120,75171,9.71
1121,75172,10.62
1122,75173,10.26
1123,75174,16.35
1124,75175,9.77
1125,75176,10.4
1126,75177,10.69
1127,75178,4.71
1128,75179,10.31
1129,75180,9.88
1130,75181,9.94
1131,75182,10.26
1132,75183,13.4
1133,75184,12.01
1134,75185,10.9
1135,75186,12.53
1136,75187,10.74
1137,75188,7.68
1138,75189,11.19
1139,75190,7.68
1140,75191,10.52
1141,75192,12.01
1142,75193,14.23
1143,75194,10.35
1144,75195,9.57
1145,75196,6.67
1146,75197,7.58
1147,75198,9.54
1148,75199,6.84
1149,75200,11.05
1150,75201,9.65
1151,75202,6.79
1152,75203,10.93
1153,75204,12.17
1154,75205,9.13
1155,75206,9.22
1156,75207,11.02
1157,75208,10.71
1158,75209,11.14
1159,75210,11.88
1160,75211,9.93
1161,75212,10.53
1162,75213,12.64
1163,75214,9.23
1164,75215,9.6
1165,75216,10.69
1166,75217,10.31
1167,75218,9.97
1168,75219,14.23
1169,75220,6.84
1170,75221,10.9
1171,75222,9.54
1172,75223,9.33
1173,75224,6.73
1174,75225,9.33
1175,75226,13.45
1176,75227,5.51
1177,75228,12.61
1178,75229,9.98
1179,75230,8.03
1180,75231,10.31
1181,75232,9.92
1182,75233,14.0
1183,75234,9.54
1184,75235,7.95
1185,75236,11.82
1186,75237,6.84
1187,75238,6.84
1188,75239,12.14
1189,75240,6.84
1190,75241,8.03
1191,75242,9.54
1192,75243,11.24
1193,75244,7.47
1194,75245,12.46
1195,75246,11.0
1196,75247,11.12
1197,75248,6.84
1198,75249,11.14
1199,75250,11.3
1200,75251,10.62
1201,75252,9.88
1202,75253,11.02
1203,75254,14.51
1204,75255,12.61
1205,75256,8.96
1206,75257,16.39
1207,75258,11.24
1208,75259,13.4
1209,75260,6.08
1210,75261,10.31
1211,75262,13.84
1212,75263,7.58
1213,75264,9.89
1214,75265,9.93
1215,75266,11.92
1216,75267,11.86
1217,75268,11.75
1218,75269,9.88
1219,75270,5.53
1220,75271,8.62
1221,75272,8.82
1222,75273,4.68
1223,75274,12.73
1224,75275,9.89
1225,75276,13.4
1226,75277,6.79
1227,75278,11.95
1228,75279,6.84
1229,75280,5.46
1230,75281,9.21
1231,75282,13.4
1232,75283,7.75
1233,75284,11.19
1234,75285,11.81
1235,75286,11.02
1236,75287,6.25
1237,75288,10.98
1238,75289,12.53
1239,75290,14.32
1240,75291,9.65
1241,75292,9.83
1242,75293,11.3
1243,75294,13.14
1244,75295,9.54
1245,75296,5.61
1246,75297,9.3
1247,75298,9.54
1248,75299,8.35
1249,75300,10.69
1250,75301,9.71
1251,75302,8.96
1252,75303,6.33
1253,75304,11.75
1254,75305,10.9
1255,75306,7.58
1256,75307,9.54
1257,75308,11.51
1258,75309,6.79
1259,75310,10.31
1260,75311,9.35
1261,75312,12.44
1262,75313,9.12
1263,75314,9.76
1264,75315,10.37
1265,75316,5.65
1266,75317,9.95
1267,75318,10.62
1268,75319,16.81
1269,75320,9.47
1270,75321,9.47
1271,75322,9.93
1272,75323,7.47
1273,75324,9.72
1274,75325,9.85
1275,75326,8.57
1276,75327,6.6
1277,75328,10.9
1278,75329,6.32
1279,75330,7.75
1280,75331,12.42
1281,75332,11.12
1282,75333,9.68
1283,75334,11.84
1284,75335,6.4
1285,75336,11.98
1286,75337,11.05
1287,75338,10.69
1288,75339,11.72
1289,75340,11.28
1290,75341,9.21
1291,75342,5.27
1292,75343,10.15
1293,75344,11.12
1294,75345,9.16
1295,75346,13.25
1296,75347,10.25
1297,75348,4.14
1298,75349,12.3
1299,75350,7.79
1300,75351,5.82
1301,75352,5.05
1302,75353,8.89
1303,75354,6.6
1304,75355,7.47
1305,75356,9.22
1306,75357,12.1
1307,75358,11.3
1308,75359,9.02
1309,75360,7.47
1310,75361,7.47
1311,75362,11.0
1312,75363,11.75
1313,75364,9.54
1314,75365,7.47
1315,75366,7.47
1316,75367,11.14
1317,75368,13.51
1318,75369,10.46
1319,75370,10.9
1320,75371,7.47
1321,75372,7.79
1322,75373,9.92
1323,75374,7.58
1324,75375,12.91
1325,75376,15.23
1326,75377,12.2
1327,75378,11.87
1328,75379,11.01
1329,75380,6.84
1330,75381,11.95
1331,75382,7.68
1332,75383,6.84
1333,75384,14.03
1334,75385,8.57
1335,75386,12.52
1336,75387,10.69
1337,75388,11.74
1338,75389,12.95
1339,75390,13.64
1340,75391,11.74
1341,75392,6.84
1342,75393,16.11
1343,75394,13.13
1344,75395,8.35
1345,75396,10.85
1346,75397,11.28
1347,75398,7.47
1348,75399,12.7
1349,75400,6.79
1350,75401,9.77
1351,75402,9.59
1352,75403,11.13
1353,75404,9.22
1354,75405,11.31
1355,75406,6.84
1356,75407,5.57
1357,75408,9.93
1358,75409,11.02
1359,75410,12.34
1360,75411,13.84
1361,75412,6.21
1362,75413,8.33
1363,75414,10.85
1364,75415,10.26
1365,75416,6.21
1366,75417,10.62
1367,75418,10.54
1368,75419,8.49
1369,75420,12.35
1370,75421,12.85
1371,75422,10.74
1372,75423,11.02
1373,75424,8.19
1374,75425,11.02
1375,75426,10.31
1376,75427,6.79
1377,75428,11.14
1378,75429,11.02
1379,75430,10.31
1380,75431,5.34
1381,75432,9.76
1382,75433,9.76
1383,75434,11.74
1384,75435,8.95
1385,75436,8.82
1386,75437,10.86
1387,75438,11.19
1388,75439,11.19
1389,75440,11.75
1390,75441,6.84
1391,75442,12.09
1392,75443,10.76
1393,75444,9.83
1394,75445,7.47
1395,75446,10.76
1396,75447,11.57
1397,75448,9.37
1398,75449,10.85
1399,75450,6.46
1400,75451,11.76
1401,75452,10.31
1402,75453,11.02
1403,75454,9.71
1404,75455,12.44
1405,75456,10.85
1406,75457,11.75
1407,75458,6.4
1408,75459,9.84
1409,75460,16.08
1410,75461,11.16
1411,75462,9.47
1412,75463,13.4
1413,75464,11.76
1414,75465,10.42
1415,75466,11.02
1416,75467,10.31
1417,75468,6.73
1418,75469,11.84
1419,75470,10.9
1420,75471,11.74
1421,75472,6.84
1422,75473,8.49
1423,75474,11.14
1424,75475,9.6
1425,75476,11.02
1426,75477,12.52
1427,75478,6.84
1428,75479,12.31
1429,75480,9.15
1430,75481,11.02
1431,75482,15.18
1432,75483,9.54
1433,75484,11.54
1434,75485,10.23
1435,75486,8.95
1436,75487,7.68
1437,75488,7.95
1438,75489,6.21
1439,75490,7.68
1440,75491,12.2
1441,75492,11.82
1442,75493,9.88
1443,75494,9.66
1444,75495,9.01
1445,75496,8.86
1446,75497,11.22
1447,75498,7.58
1448,75499,7.58
1449,75500,9.37
1450,75501,9.92
1451,75502,10.86
1452,75503,12.89
1453,75504,9.01
1454,75505,9.88
1455,75506,12.23
1456,75507,4.91
1457,75508,10.22
1458,75509,8.49
1459,75510,8.53
1460,75511,10.85
1461,75512,12.09
1462,75513,13.1
1463,75514,7.47
1464,75515,6.25
1465,75516,4.78
1466,75517,10.6
1467,75518,9.72
1468,75519,10.01
1469,75520,10.31
1470,75521,9.65
1471,75522,6.25
1472,75523,8.96
1473,75524,10.13
1474,75525,7.47
1475,75526,8.08
1476,75527,5.56
1477,75528,6.33
1478,75529,7.47
1479,75530,6.79
1480,75531,10.9
1481,75532,11.88
1482,75533,12.97
1483,75534,7.47
1484,75535,10.43
1485,75536,10.51
1486,75537,16.41
1487,75538,13.87
1488,75539,7.68
1489,75540,10.86
1490,75541,8.03
1491,75542,10.31
1492,75543,10.56
1493,75544,10.22
1494,75545,7.47
1495,75546,14.12
1496,75547,7.58
1497,75548,7.58
